date,realReturn
1871.01,93.48
1871.02,92.38
1871.03,93.69
1871.04,100.44
1871.05,105.85
1871.06,107.11
1871.07,105.59
1871.08,109.13
1871.09,108.17
1871.1,101.48
1871.11,103.06
1871.12,103.38
1872.01,106.48
1872.02,107.4
1872.03,109.77
1872.04,110.85
1872.05,111.34
1872.06,111.58
1872.07,113.09
1872.08,111.46
1872.09,109.2
1872.1,112.65
1872.11,109.49
1872.12,114.36
1873.01,115.83
1873.02,114.78
1873.03,114.46
1873.04,113.47
1873.05,116.8
1873.06,119.3
1873.07,119.69
1873.08,120.33
1873.09,111.78
1873.1,105.09
1873.11,105.28
1873.12,113.18
1874.01,118.18
1874.02,122.43
1874.03,121.35
1874.04,120.57
1874.05,119.08
1874.06,122.16
1874.07,121.93
1874.08,123.95
1874.09,126.65
1874.1,129.23
1874.11,132.23
1874.12,132.16
1875.01,132.96
1875.02,133.46
1875.03,136.02
1875.04,137.45
1875.05,136.26
1875.06,136.61
1875.07,137.74
1875.08,138
1875.09,138.72
1875.1,137.31
1875.11,141.56
1875.12,143.6
1876.01,148.68
1876.02,151.51
1876.03,152.01
1876.04,148.43
1876.05,149.09
1876.06,153.12
1876.07,152.2
1876.08,145.45
1876.09,136.22
1876.1,133.92
1876.11,131.09
1876.12,128.95
1877.01,126.5
1877.02,123.06
1877.03,123.13
1877.04,111.91
1877.05,110.71
1877.06,109.43
1877.07,113.95
1877.08,127.47
1877.09,137.5
1877.1,141.21
1877.11,142.58
1877.12,142.84
1878.01,147.97
1878.02,147.01
1878.03,153.71
1878.04,160.43
1878.05,167.04
1878.06,175.21
1878.07,177.58
1878.08,174.86
1878.09,179.18
1878.1,179.91
1878.11,182.22
1878.12,186.19
1879.01,191.79
1879.02,197.31
1879.03,197.18
1879.04,206.88
1879.05,217.07
1879.06,221.62
1879.07,224.35
1879.08,226.91
1879.09,228.22
1879.1,240.47
1879.11,241.33
1879.12,234.55
1880.01,237.44
1880.02,242.43
1880.03,245.59
1880.04,250.33
1880.05,238.43
1880.06,245.35
1880.07,257.62
1880.08,267.9
1880.09,265.7
1880.1,274.46
1880.11,287.05
1880.12,296.92
1881.01,319.03
1881.02,315.97
1881.03,320.73
1881.04,317.72
1881.05,336.57
1881.06,341.96
1881.07,328.01
1881.08,315.31
1881.09,307.21
1881.1,300.76
1881.11,306.84
1881.12,299.24
1882.01,296.08
1882.02,288.22
1882.03,289.05
1882.04,287.72
1882.05,282.97
1882.06,280.25
1882.07,300.06
1882.08,307.6
1882.09,320.58
1882.1,316.14
1882.11,306.86
1882.12,312.8
1883.01,312.63
1883.02,304.18
1883.03,312.31
1883.04,323.37
1883.05,322.45
1883.06,336.56
1883.07,339.72
1883.08,325.92
1883.09,334.54
1883.1,327.12
1883.11,337.12
1883.12,328
1884.01,319.85
1884.02,330.18
1884.03,330.62
1884.04,324.01
1884.05,305.91
1884.06,295.16
1884.07,300.15
1884.08,320.76
1884.09,315.82
1884.1,310.71
1884.11,313.19
1884.12,317.95
1885.01,312.48
1885.02,320.21
1885.03,330.23
1885.04,327.47
1885.05,333.14
1885.06,341.4
1885.07,351.64
1885.08,373.08
1885.09,374.49
1885.1,397.92
1885.11,420.4
1885.12,409.05
1886.01,420.39
1886.02,430.07
1886.03,427.83
1886.04,428.83
1886.05,432.62
1886.06,459.84
1886.07,462.66
1886.08,461.99
1886.09,475.65
1886.1,489.34
1886.11,503.07
1886.12,485.63
1887.01,470.59
1887.02,463.28
1887.03,475.74
1887.04,488.25
1887.05,498.3
1887.06,491.38
1887.07,486.86
1887.08,470.74
1887.09,472.06
1887.1,452.61
1887.11,457.66
1887.12,446.36
1888.01,446.37
1888.02,450.7
1888.03,435.37
1888.04,443.93
1888.05,457.09
1888.06,450
1888.07,458.01
1888.08,469.57
1888.09,482.95
1888.1,476.4
1888.11,462.94
1888.12,455.8
1889.01,483.01
1889.02,496.2
1889.03,493.63
1889.04,494.47
1889.05,522.38
1889.06,533.05
1889.07,524.06
1889.08,532.82
1889.09,540.8
1889.1,532.78
1889.11,529.66
1889.12,522.06
1890.01,542.99
1890.02,538.79
1890.03,536.59
1890.04,549.64
1890.05,567.86
1890.06,565.67
1890.07,563.48
1890.08,532.4
1890.09,519.17
1890.1,497.53
1890.11,474.25
1890.12,465.02
1891.01,497.13
1891.02,499.08
1891.03,485.93
1891.04,498.02
1891.05,503.78
1891.06,507.55
1891.07,507.28
1891.08,526.25
1891.09,578.04
1891.1,580.03
1891.11,580.57
1891.12,600.3
1892.01,629.38
1892.02,632.64
1892.03,658.78
1892.04,668.75
1892.05,671.03
1892.06,669.73
1892.07,654.37
1892.08,657.47
1892.09,643.38
1892.1,658.61
1892.11,641.92
1892.12,629.35
1893.01,619.82
1893.02,603.72
1893.03,598.26
1893.04,607.96
1893.05,563.44
1893.06,552.86
1893.07,517
1893.08,528.02
1893.09,545.79
1893.1,557.28
1893.11,583.68
1893.12,573.55
1894.01,580.2
1894.02,599.31
1894.03,637.8
1894.04,649.07
1894.05,627.69
1894.06,621.87
1894.07,611.68
1894.08,619.43
1894.09,623.06
1894.1,623.42
1894.11,625.97
1894.12,631.75
1895.01,626.96
1895.02,620.65
1895.03,623.18
1895.04,625.28
1895.05,652.96
1895.06,659.04
1895.07,673.26
1895.08,695.1
1895.09,701.81
1895.1,693.97
1895.11,672.93
1895.12,644.62
1896.01,648.64
1896.02,688.2
1896.03,679.79
1896.04,698.54
1896.05,708.24
1896.06,708.42
1896.07,665.02
1896.08,629.67
1896.09,665.24
1896.1,662.6
1896.11,690
1896.12,667.15
1897.01,689.22
1897.02,685.13
1897.03,689.23
1897.04,680.32
1897.05,696.58
1897.06,731.58
1897.07,766.7
1897.08,783.52
1897.09,800.72
1897.1,788.52
1897.11,763.16
1897.12,782.03
1898.01,805.93
1898.02,795.44
1898.03,762.02
1898.04,751.46
1898.05,750.52
1898.06,837.33
1898.07,855.33
1898.08,890.03
1898.09,891.09
1898.1,875.23
1898.11,906.93
1898.12,952.42
1899.01,1027.72
1899.02,1040.14
1899.03,1057.76
1899.04,1059.27
1899.05,1017.92
1899.06,984.47
1899.07,1007.87
1899.08,1022.85
1899.09,976.44
1899.1,962.47
1899.11,971.34
1899.12,896.87
1900.01,911.49
1900.02,919.65
1900.03,929.93
1900.04,944.78
1900.05,925.18
1900.06,911.98
1900.07,904.22
1900.08,931.4
1900.09,901.94
1900.1,949.87
1900.11,1028.01
1900.12,1107.51
1901.01,1129.69
1901.02,1177.02
1901.03,1223.36
1901.04,1346.98
1901.05,1283.39
1901.06,1415.52
1901.07,1308.36
1901.08,1314.39
1901.09,1296.14
1901.1,1285.83
1901.11,1301.9
1901.12,1269.95
1902.01,1317.06
1902.02,1332.76
1902.03,1338.76
1902.04,1372.34
1902.05,1357.31
1902.06,1337.9
1902.07,1372.44
1902.08,1430.12
1902.09,1421.06
1902.1,1290.46
1902.11,1286.87
1902.12,1247.47
1903.01,1300.84
1903.02,1297.42
1903.03,1293.45
1903.04,1245.12
1903.05,1254.06
1903.06,1189.43
1903.07,1139.48
1903.08,1107.64
1903.09,1073.23
1903.1,1055.32
1903.11,1076.1
1903.12,1130.79
1904.01,1128.15
1904.02,1077.81
1904.03,1091.45
1904.04,1136.03
1904.05,1143.11
1904.06,1149.71
1904.07,1202.2
1904.08,1233.25
1904.09,1277.62
1904.1,1357.28
1904.11,1403.16
1904.12,1421.33
1905.01,1456.82
1905.02,1525.27
1905.03,1591.02
1905.04,1576.32
1905.05,1520.7
1905.06,1543.36
1905.07,1596.63
1905.08,1642
1905.09,1671.18
1905.1,1699.65
1905.11,1676.27
1905.12,1703.29
1906.01,1767.2
1906.02,1759.77
1906.03,1721.87
1906.04,1703.76
1906.05,1645.51
1906.06,1672.47
1906.07,1691.23
1906.08,1781.22
1906.09,1821.51
1906.1,1734.35
1906.11,1756.78
1906.12,1728.16
1907.01,1703.01
1907.02,1620.75
1907.03,1483.07
1907.04,1496.29
1907.05,1420.53
1907.06,1366.84
1907.07,1425.3
1907.08,1324.71
1907.09,1316.94
1907.1,1168.1
1907.11,1152.95
1907.12,1245.23
1908.01,1319.55
1908.02,1292.55
1908.03,1352.44
1908.04,1416.54
1908.05,1499.75
1908.06,1508.59
1908.07,1553.66
1908.08,1627.12
1908.09,1616.12
1908.1,1624.95
1908.11,1723.06
1908.12,1749.97
1909.01,1781.05
1909.02,1718.31
1909.03,1748.42
1909.04,1795.77
1909.05,1843.19
1909.06,1863.41
1909.07,1896.74
1909.08,1929.82
1909.09,1919.33
1909.1,1896.11
1909.11,1875.38
1909.12,1886.1
1910.01,1870.38
1910.02,1810.46
1910.03,1826.99
1910.04,1773.11
1910.05,1784.14
1910.06,1721.77
1910.07,1641.95
1910.08,1705.55
1910.09,1741.45
1910.1,1884.58
1910.11,1929.42
1910.12,1883.66
1911.01,1937.6
1911.02,2042.39
1911.03,2005.71
1911.04,2070.92
1911.05,2124.29
1911.06,2175.65
1911.07,2152.08
1911.08,1993.71
1911.09,1874.01
1911.1,1893.28
1911.11,1998.36
1911.12,2037.03
1912.01,2026.7
1912.02,1996.87
1912.03,2021.31
1912.04,2031.37
1912.05,2037.62
1912.06,2066.3
1912.07,2077.01
1912.08,2112.34
1912.09,2110.98
1912.1,2115.23
1912.11,2100.17
1912.12,2053.19
1913.01,2024.58
1913.02,1961.45
1913.03,1933.02
1913.04,1939.61
1913.05,1915.02
1913.06,1809.02
1913.07,1823.83
1913.08,1881.45
1913.09,1889.08
1913.1,1838.15
1913.11,1782.49
